1, 38.52, 0.1088,  2.9974,  3, 111
2, 44.76, 0.1450,  3.9936,  4, 200
3, 65.14, 0.2898,  7.9834,  8, 220
4, 78.26, 0.3983, 10.9715, 11, 311
5, 82.47, 0.4345, 11.9691, 12, 222
6, 99.11, 0.5792, 15.9550, 16, 400
